name,years,reviews,employee,rating,type,highly_rated_for
Dell,39 years old,3k,10k-50k Employees,4.1,Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Skill Development / Learning"
Cholamandalam Investment & Finance,45 years old,3k,5k-10k Employees,4.1,NBFC,"Salary & Benefits, Job Security, Skill Development / Learning"
JBM Group,40 years old,3k,1k-5k Employees,4.0,Auto Components,"Job Security, Skill Development / Learning"
Swiggy,9 years old,3k,5k-10k Employees,3.9,Internet,Salary & Benefits
Ecom Express,Gurgaon +579 more,3k,10k-50k Employees,4.1,Logistics,"Skill Development / Learning, Work Life Balance, Company Culture"
Bajaj Auto,78 years old,2.9k,5k-10k Employees,3.8,Automobile,null
Ekart Logistics,San Francisco +511 more,2.9k,5k-10k Employees,4.0,Logistics,"Skill Development / Learning, Salary & Benefits, Company Culture"
SBI Life Insurance Company,Mumbai +493 more,2.9k,10k-50k Employees,3.8,Insurance,Job Security
Optum,Prairie +25 more,2.9k,10k-50k Employees,4.0,Healthcare,"Job Security, Work Life Balance, Company Culture"
KEC International,78 years old,2.9k,5k-10k Employees,4.1,Engineering & Construction,"Job Security, Skill Development / Learning, Company Culture"
Nagarjuna Construction Company,25 years old,2.9k,5k-10k Employees,4.1,Engineering & Construction,"Job Security, Skill Development / Learning, Company Culture"
Equitas Small Finance Bank,16 years old,2.9k,10k-50k Employees,4.1,Banking,"Job Security, Work Life Balance, Company Culture"
Aditya Birla Fashion and Retail,8 years old,2.9k,10k-50k Employees,4.2,Retail,"Job Security, Skill Development / Learning, Company Culture"
Viatris,62 years old,2.9k,10k-50k Employees,4.3,Pharma,"Salary & Benefits, Job Security, Work Life Balance"
Samvardhana Motherson Group,37 years old,2.8k,1k-5k Employees,3.8,Auto Components,Job Security
Muthoot Fincorp,136 years old,2.8k,10k-50k Employees,4.0,NBFC,"Job Security, Skill Development / Learning, Work Life Balance"
Godrej & Boyce Manufacturing,126 years old,2.8k,10k-50k Employees,3.9,Engineering & Construction,Job Security
Piramal Capital Housing Finance,Mumbai +303 more,2.8k,1k-5k Employees,4.3,NBFC,"Company Culture, Skill Development / Learning, Work Life Balance"
Royal Enfield,Gurgaon/Gurugram +281 more,2.8k,10k-50k Employees,4.2,Automobile,"Skill Development / Learning, Company Culture, Work Satisfaction"
Tata Communications,37 years old,2.8k,5k-10k Employees,4.1,Telecom,"Job Security, Company Culture, Skill Development / Learning"
L&T Finance,29 years old,2.8k,10k-50k Employees,4.0,NBFC,"Salary & Benefits, Skill Development / Learning"
LG Electronics,65 years old,2.8k,10k-50k Employees,4.0,Consumer Electronics & Appliances,"Job Security, Skill Development / Learning"
John Deere,22 years old,2.8k,5k-10k Employees,4.3,IT Services & Consulting,"Company Culture, Skill Development / Learning, Work Life Balance"
Intas Pharmaceuticals,23 years old,2.7k,10k-50k Employees,4.2,Pharma,"Job Security, Work Life Balance, Salary & Benefits"
Whitehat jr,5 years old,2.7k,5k-10k Employees,3.5,EdTech,Job Security
Varun Beverages,28 years old,2.7k,5k-10k Employees,4.0,Beverage,"Job Security, Salary & Benefits"
Thermax Limited,57 years old,2.7k,1k-5k Employees,4.2,Industrial Machinery,"Job Security, Company Culture, Skill Development / Learning"
Hetero Drugs,Hyderabad/Secunderabad +37 more,2.6k,1k-5k Employees,3.8,Pharma,Job Security
Deutsche Bank,153 years old,2.6k,10k-50k Employees,4.1,Banking,"Job Security, Work Life Balance, Company Culture"
Ford Motor,120 years old,2.6k,5k-10k Employees,4.4,Automobile,"Company Culture, Work Life Balance, Salary & Benefits"
Sodexo,15 years old,2.6k,10k-50k Employees,4.1,Facility Management Services,"Skill Development / Learning, Company Culture, Work Life Balance"
Randstad,Chennai +233 more,2.6k,Conglomerate,3.9,1k-5k Employees,null
Abbott Healthcare,32 years old,2.6k,10k-50k Employees,4.1,Pharma,"Company Culture, Salary & Benefits, Work Life Balance"
Subros,38 years old,2.6k,1k-5k Employees,3.9,Auto Components,"Job Security, Skill Development / Learning, Company Culture"
Havells,40 years old,2.6k,5k-10k Employees,4.1,Electrical Equipment,"Work Life Balance, Salary & Benefits, Company Culture"
Macleods Pharmaceuticals,37 years old,2.6k,10k-50k Employees,3.8,Pharma,Job Security
UnitedHealth,46 years old,2.6k,10k-50k Employees,4.1,Healthcare,"Job Security, Work Life Balance, Company Culture"
VE Commercial Vehicles,Gurgaon/Gurugram +121 more,2.6k,1k-5k Employees,4.0,Automobile,"Job Security, Skill Development / Learning"
American Express,173 years old,2.6k,10k-50k Employees,4.3,Financial Services,"Company Culture, Work Life Balance, Job Security"
Persistent Systems,33 years old,2.5k,10k-50k Employees,3.9,IT Services & Consulting,"Company Culture, Skill Development / Learning, Work Life Balance"
CARS24,8 years old,2.5k,5k-10k Employees,3.6,Internet,null
Automatic Data Processing (ADP),74 years old,2.5k,10k-50k Employees,4.1,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Team Lease,7 years old,2.5k,1k-5k Employees,3.9,Recruitment,null
Pidilite Industries,64 years old,2.5k,5k-10k Employees,4.3,Chemicals,"Job Security, Company Culture, Work Life Balance"
Cgi Group,47 years old,2.5k,10k-50k Employees,4.2,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Atos,26 years old,2.4k,201-500 Employees,3.8,IT Services & Consulting,"Work Life Balance, Job Security"
Bharat Electronics,69 years old,2.4k,5k-10k Employees,4.1,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Skill Development / Learning"
Alembic Pharmaceuticals,116 years old,2.4k,10k-50k Employees,4.0,Pharma,"Salary & Benefits, Work Life Balance"
Alkem Laboratories,50 years old,2.4k,10k-50k Employees,3.9,Pharma,Salary & Benefits
Publicis Sapient,New York +21 more,2.4k,10k-50k Employees,3.6,IT Services & Consulting,null
Indian Air Force,New Delhi +108 more,2.4k,1 Lakh+ Employees,4.6,Defence & Aerospace,"Job Security, Skill Development / Learning, Salary & Benefits"
Hindalco Industries,65 years old,2.4k,10k-50k Employees,4.2,Metals & Mining,"Job Security, Skill Development / Learning, Company Culture"
Wipro Infotech,78 years old,2.4k,1 Lakh+ Employees (Global),4.1,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture"
Hindustan Coca Cola Beverages,Bangalore +197 more,2.4k,5k-10k Employees,4.3,Beverage,"Skill Development / Learning, Job Security, Company Culture"
DCB Bank,93 years old,2.4k,5k-10k Employees,3.9,Banking,"Work Life Balance, Job Security, Skill Development / Learning"
Access Healthcare,Dallas +25 more,2.4k,5k-10k Employees,3.9,IT Services & Consulting,"Job Security, Company Culture"
